,date,flight no,booster version,payload mass,orbit,launch site,landing type,outcome,flights,gridfins,reused,legs,landing pad,block,reused count,serial,longitude,latitude,cost per launch,customers,manufacterers
5,2010-06-04,6,Falcon 9,8117.574038461539,LEO,Cape Canaveral Space Force Station Space Launch Complex 40,no data,False,1,False,False,False,no data,1.0,0,B0003,-80.577366,28.5618571,50000000,SpaceX,SpaceX
6,2010-12-08,7,Falcon 9,8117.574038461539,LEO,Cape Canaveral Space Force Station Space Launch Complex 40,no data,False,1,False,False,False,no data,1.0,0,B0004,-80.577366,28.5618571,50000000,NASA(COTS),SpaceX
7,2012-05-22,8,Falcon 9,525.0,LEO,Cape Canaveral Space Force Station Space Launch Complex 40,no data,False,1,False,False,False,no data,1.0,0,B0005,-80.577366,28.5618571,50000000,NASA(COTS),SpaceX
8,2012-10-08,9,Falcon 9,400.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,no data,False,1,False,False,False,no data,1.0,0,B0006,-80.577366,28.5618571,50000000,NASA (CRS),SpaceX
9,2013-03-01,10,Falcon 9,677.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,no data,False,1,False,False,False,no data,1.0,0,B0007,-80.577366,28.5618571,50000000,NASA (CRS),SpaceX
10,2013-09-29,11,Falcon 9,500.0,PO,Vandenberg Space Force Base Space Launch Complex 4E,Ocean,False,1,False,False,False,no data,1.0,0,B1003,-120.610829,34.632093,50000000,MDA,MDA
11,2013-12-03,12,Falcon 9,3170.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,no data,False,1,False,False,False,no data,1.0,0,B1004,-80.577366,28.5618571,50000000,SES,Orbital ATK
12,2014-01-06,13,Falcon 9,3325.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,no data,False,1,False,False,False,no data,1.0,0,B1005,-80.577366,28.5618571,50000000,Thaicom,Orbital ATK
13,2014-04-18,14,Falcon 9,2296.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,Ocean,True,1,False,False,True,no data,1.0,0,B1006,-80.577366,28.5618571,50000000,NASA (CRS),SpaceX
14,2014-07-14,15,Falcon 9,1316.0,LEO,Cape Canaveral Space Force Station Space Launch Complex 40,Ocean,True,1,False,False,True,no data,1.0,0,B1007,-80.577366,28.5618571,50000000,Orbcomm,Boeing
15,2014-08-05,16,Falcon 9,4535.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,no data,False,1,False,False,False,no data,1.0,0,B1008,-80.577366,28.5618571,50000000,AsiaSat,SSL
16,2014-09-07,17,Falcon 9,4428.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,no data,False,1,False,False,False,no data,1.0,0,B1011,-80.577366,28.5618571,50000000,AsiaSat,SSL
17,2014-09-21,18,Falcon 9,2216.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,Ocean,False,1,False,False,False,no data,1.0,0,B1010,-80.577366,28.5618571,50000000,NASA (CRS),SpaceX
18,2015-01-10,19,Falcon 9,2395.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,False,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1012,-80.577366,28.5618571,50000000,NASA (CRS),SpaceX
19,2015-02-11,20,Falcon 9,570.0,ES-L1,Cape Canaveral Space Force Station Space Launch Complex 40,Ocean,True,1,True,False,True,no data,1.0,0,B1013,-80.577366,28.5618571,50000000,"NASA, NOAA, USAF",Sierra Nevada
20,2015-03-02,21,Falcon 9,1954.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,no data,False,1,False,False,False,no data,1.0,0,B1014,-80.577366,28.5618571,50000000,ABS,Boeing
21,2015-04-14,22,Falcon 9,1898.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,False,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1015,-80.577366,28.5618571,50000000,NASA (CRS),SpaceX
22,2015-04-27,23,Falcon 9,4707.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,no data,False,1,False,False,False,no data,1.0,0,B1016,-80.577366,28.5618571,50000000,Turkmenistan National Space Agency,Thales Alenia Space
23,2015-06-28,24,Falcon 9,2477.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,False,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1018,-80.577366,28.5618571,50000000,NASA (CRS),SpaceX
24,2015-12-22,25,Falcon 9,2034.0,LEO,Cape Canaveral Space Force Station Space Launch Complex 40,RTLS,True,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0,B1019,-80.577366,28.5618571,50000000,Orbcomm,Boeing
25,2016-01-17,26,Falcon 9,553.0,PO,Vandenberg Space Force Base Space Launch Complex 4E,ASDS,False,1,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0,B1017,-120.610829,34.632093,50000000,"NASA, NOAA",Thales Alenia Space
26,2016-03-04,27,Falcon 9,5271.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,False,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1020,-80.577366,28.5618571,50000000,SES,Boeing
27,2016-04-08,28,Falcon 9,3136.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021,-80.577366,28.5618571,50000000,NASA (CRS),SpaceX
28,2016-05-06,29,Falcon 9,4696.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1022,-80.577366,28.5618571,50000000,SKY Perfect JSAT Group,SSL
